41	114	Un po' di trucco fa miracoli.	73		 	 
128	195	Anche la ragazza più insignificante può brillare\ncon la tecnica giusta.	67	分	　	 
262	413	E una bella ragazza come te?\nPotrebbe davvero darti una marcia in più.	151	　	　	 
517	605	Dovresti pensare di comprarti dei vestiti un po' più alla moda, sai?	88	　	　	 
652	755	Non accontentarti di pensare di essere\nabbastanza carina così come sei.	103	　	　	 
778	886	Ma non sono carina. Neanche un po'.	108	　	　	 
1025	1172	Ecco un'altra buona ragione per imparare a truccarti alla perfezione, allora.	147	　	　	 
1187	1280	Rinnovare la tua immagine non è un'impresa facile.	93	　	　	 
1303	1438	Ma ora che sei nel settore, devi essere costantemente a caccia di bellezza.	135	　	　	 
1542	1602	Qualcosa di divertente?	60	　	　	 
1615	1699	Sono solo felice.	84	　	　	 
1700	1760	Contento di averti fatto la predica?	60	　	　	 
1833	1967	Non avrei mai pensato che avremmo fatto cose del genere. Tipo truccarci insieme.	126	　	　	 
2048	2108	Sono davvero contento.	60	　	　	 
2874	2934	Immagino sia la verità, allora.	60	　	　	 
2951	3011	Che ogni ragazza ha bisogno di una madre.	60	分	　	 
3092	3228	Haruka. La prossima volta ti porto nel posto più alla moda della città.	136	　	　	 
3236	3296	Rimettiamo a nuovo il tuo guardaroba.	60	　	　	 
3318	3378	Lo dici davvero?	60	　	　	 
3379	3460	Lo dico <Italic>sempre</Italic> sul serio.	81	　	　	 
3478	3538	Ti ho mai dato motivo di pensare il contrario?	60	分	　	 
3869	3983	Fatto, tutto a posto.\nDacci dentro oggi.	114	　	　	 
4005	4065	Certo. E...	60	　	　	 
4087	4147	Vi sono grato per tutto l'aiuto!	60	分	　	 